,Наименование операции,"Тарифы категории ""Стандарт D ""","Тарифы категории ""C""","Тарифы категории ""B""","Тарифы категории ""A""","Тарифы категории ""E""","Тарифы категории ""Бюджетные F""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.11,"Перевод на банковский счет, открытый в другом Банке* (также применяется при проведении постоянных распоряжений с текущих счетов), с учетом НДС
*тариф также применяется при отправки платежей в АО ""Казпочта""
",1 500 тенге,1 500 тенге,1 500 тенге,1 500 тенге,1 500 тенге,1 500 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.12,"Перевод по указаниям третьих лиц (инкассовое распоряжения, платежное требование поручение), с учетом НДС",1 500 тенге,1 500 тенге,1 500 тенге,1 500 тенге,1 500 тенге,1 500 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.13,"Перевод в пользу клиентов АО ""Халык Банк Грузия"" и АКБ «Tenge Bank», счет отправителя в KZT (перевод поступает в банк-бенефициара в полном объеме), с учетом НДС",0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Раздел 3 Операции в иностранной валюте, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,"Платежи в иностранной валюте (кроме валют стран СНГ), с учетом НДС:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.1,"«BEN» (отправитель оплачивает комиссию банка-отправителя, комиссии остальных банков оплачивает получатель) 
*недоступно для выбора для платежей в JPY","0,25% мин. 9 000 тенге 
макс. 95 000 тенге","0,25% мин 9 000 
макс 85 000 тенге","0,25% мин 9 000 
макс 76 000 тенге","0,25% мин 9 000 
макс 66 000 тенге","0,25% мин 9 000 
макс 63 000 тенге","0,25% мин 9 000 
макс 95 000 тенге",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2,"«SHA» (отправитель оплачивает комиссию банка-отправителя и банка-корреспондента, комиссии остальных банков оплачивает получатель)
*Также применяется при проведении платежей по аккредитивам, гарантиям, инкассо и рамбурсным обязательствам.
**Возможность выбора типа платежа SHA доступна только для платежей 
в USD, EUR, GBP и CHF.","0,3%  мин. 11 000 тенге
макс. 110 000 тенге
","0,3%  мин. 11 000 тенге
макс. 110 000 тенге
","0,3%  мин. 11 000 тенге
макс. 110 000 тенге
","0,3%  мин. 11 000 тенге
макс. 110 000 тенге
","0,3%  мин. 11 000 тенге
макс. 110 000 тенге
","0,3%  мин. 11 000 тенге
макс. 110 000 тенге
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.3," «OUR» (все комиссии оплачивает отправитель), с учетом НДС: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.3.1,"для платежей в USD
*Также применяется при проведении платежей по металлическим счетам","0,35% мин. 25 000 тенге
макс. 150 000 тенге","0,35% мин. 22 500 тенге
макс. 135 000 тенге","0,35% мин. 20 000 тенге
макс. 120 000 тенге","0,35% мин. 17 500 тенге
макс. 105 000 тенге","0,35% мин. 15 000 тенге
макс. 90 000 тенге","0,35% мин. 25 000 тенге
макс. 150 000 тенге",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.3.2,для платежей в валютах кроме USD,"0,35% мин. 20 000 тенге
макс. 120 000 тенге","0,35%  мин 18 000 макс 93 000 тенге","0,35%  мин 16 000 макс 83 000 тенге","0,35%  мин 14 000 макс 73 000 тенге","0,35%  мин 12 000 макс 62 000 тенге","0,35% мин. 20 000 тенге
макс. 120 000 тенге",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.3.3,"для платежей в валютах CNY (Тариф также применяется при проведении платежей по аккредитивам, гарантиям, инкассо и рамбурсным обязательствам), с учетом НДС","0,3% мин. 12 000 тенге, макс. 120 000 тенге","0,15% мин. 7 000 тенге, макс. 70 000 тенге","0,15% мин. 7 000 тенге, макс. 70 000 тенге","0,15% мин. 7 000 тенге, макс. 70 000 тенге","0,15% мин. 7 000 тенге, макс. 70 000 тенге","0,15% мин. 7 000 тенге, макс. 70 000 тенге",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.4,"«Перевод в пользу клиентов АО ""Халык Банк Грузия"", АКБ «Tenge Bank», счет отправителя в USD, EUR (перевод поступает в банк-бенефициара в полном объеме)», с учетом НДС ",0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,"Платежи в валюте стран СНГ (Тариф также применяется при проведении платежей по аккредитивам, гарантиям, инкассо и рамбурсным обязательствам), с учетом НДС","0,25% мин. 3 000 тенге
 макс. 40 000 тенге","0,25% мин 3 000 
макс 31 000 тенге","0,25% мин 3 000 
макс 27 000 тенге","0,25% мин 3 000 
макс 24 000 тенге","0,25% мин 3 000 
макс 20 000 тенге","0,25% мин. 3 000 тенге
 макс. 40 000 тенге",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.1,"Перевод в пользу клиентов АО ""Халык Банк Грузия"" и АКБ «Tenge Bank», счет отправителя в  UZS, GEL (перевод поступает в банк-бенефициара в полном объеме), с учетом НДС",0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,"Проведение платежа день в день (при наличии технической возможности  у Банка), с учетом НДС","Двойной размер тарифа 3.1, 3.2","Двойной размер 
тарифа 3.1, 3.2","Двойной размер 
тарифа 3.1, 3.2","Двойной размер 
тарифа 3.1, 3.2","Двойной размер 
тарифа 3.1, 3.2","Двойной размер 
тарифа 3.1, 3.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,"Проведение платежа после 16.00 местного времени (при наличии технической возможности у банка), с учетом НДС","150 000 тенге 
(тариф взимается дополнительно к п. 3.1, 3.2, 3.3)","100 000 тенге
(тариф взимается 
дополнительно 
к п. 3.1, 3.2, 3.3)","90 000 тенге
(тариф взимается 
дополнительно 
к п. 3.1, 3.2, 3.3)","80 000 тенге
(тариф взимается 
дополнительно 
к п. 3.1, 3.2, 3.3)","70 000 тенге
(тариф взимается 
дополнительно 
к п. 3.1, 3.2, 3.3)","150 000 тенге 
(тариф взимается 
дополнительно 
к п. 3.1, 3.2, 3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,"Принятие на валютный контроль договора, с учетом НДС:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5.1,регистрация договора в срок до 3-х операционных дней c присвоением УНК,4 000 тенге,4 000 тенге,4 000 тенге,4 000 тенге,4 000 тенге,4 000 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5.2,регистрация договора день в день (при наличии технической возможности у Банка) с присвоением УНК,6 000 тенге,6 000 тенге,6 000 тенге,6 000 тенге,6 000 тенге,6 000 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5.3,"регистрация договора, поступившего по системе «Интернет-Банкинг», в срок до 3-х операционных дней с присвоением УНК",0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5.4,"регистрация договора, поступившего по системе «Интернет-Банкинг» день в день (при наличии технической возможности у Банка) с присвоением УНК",0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5.5,"регистрация договора не требующего учетной регистрации, свыше 10 000 долларов США",0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,"Принятие изменений и дополнений к договору свыше 10 000 долларов, с учетом НДС",0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,"Выдача дубликата контракта с присвоенным учетным номером, с учетом НДС",3 000 тенге,3 000 тенге,3 000 тенге,3 000 тенге,3 000 тенге,3 000 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8,"Снятие с валютного контроля договора, которому был присвоен учетный номер при переводе в другой Банк, с учетом НДС",5 000 тенге,5 000 тенге,5 000 тенге,5 000 тенге,5 000 тенге,5 000 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9,"Отзыв перевода, изменение платежных инструкций при осуществлении платежей и уведомлении банков-получателей, обмен сообщениями при переводе денег, запрос на подтверждение даты и суммы зачисления средств на счет получателя по заявлению клиента, с учетом НДС.",12 000 тенге,12 000 тенге,12 000 тенге,12 000 тенге,12 000 тенге,12 000 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,м
3.10,"Зачисление средств на счет в иностранной валюте, с учетом НДС",0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,0 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.11,"Подтверждение переводов в формате SWIFT, с учетом НДС",1 200 тенге,1 200 тенге,1 200 тенге,1 200 тенге,1 200 тенге,1 200 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.12,"Конвертация иностранной валюты, не облагается НДС", 0 тенге, 0 тенге, 0 тенге, 0 тенге, 0 тенге, 0 тенге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.13,"Отказ от заявки на конвертацию (отказ от проведения конвертации  возможен только до исполнения заявки Банком), с учетом НДС","2,5% от суммы конвертации","2,5% от суммы конвертации","2,5% от суммы конвертации","2,5% от суммы конвертации","2,5% от суммы конвертации","2,5% от суммы конвертации",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Раздел 4 Кассовые операции,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,"Прием наличных денег в тенге, с учетом НДС ","0,3% от суммы мин. 300 тенге","0,22% от суммы 
мин 300 тенге","0,2% от суммы 
мин 300 тенге","0,17% от суммы 
мин 300 тенге","0,15% от суммы 
мин 300 тенге","0,11% от суммы 
мин 300 тенге",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,"Прием наличной иностранной валюты за исключением российских рублей, с учетом НДС","0,35% от суммы мин. 900 тенге","0,35% от суммы мин. 900 тенге","0,35% от суммы мин. 900 тенге","0,35% от суммы мин. 900 тенге","0,35% от суммы мин. 900 тенге","0,35% от суммы мин. 900 тенге",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2.1,"Прием наличных денег в российских рублях, с учетом НДС","0,35% от суммы мин. 900 тенге","0,35% от суммы мин. 900 тенге","0,35% от суммы мин. 900 тенге","0,35% от суммы мин. 900 тенге","0,35% от суммы мин. 900 тенге","0,35% от суммы мин. 900 тенге",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2.2,"Прием наличных денег в долларах США выпуска 1996 - 2013 гг., с учетом НДС","2,5% от суммы ","2,5% от суммы ","2,5% от суммы ","2,5% от суммы ","2,5% от суммы ","2,5% от суммы ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
